,implemented fields,missing fields,clusters
apitore.com:wordsToVectorsApis,10,5,1
applicationinsights.io:applicationinsights-AppInsights,12,3,0
appveyor.com,15,0,0
archive.org:search,9,6,1
archive.org:wayback,10,5,1
art19.com,11,4,2
ato.gov.au,12,3,0
aucklandmuseum.com,6,9,3
authentiq.io,13,2,0
avaza.com,8,7,3
aviationdata.systems,9,6,1
azure.com:advisor,11,4,2
azure.com:analysisservices,11,4,2
azure.com:apimanagement,11,4,2
azure.com:apimanagement-apimapis,11,4,2
azure.com:apimanagement-apimauthorizationservers,11,4,2
azure.com:apimanagement-apimbackends,11,4,2
azure.com:apimanagement-apimcertificates,11,4,2
azure.com:apimanagement-apimdeployment,11,4,2
azure.com:apimanagement-apimdiagnostics,11,4,2
azure.com:apimanagement-apimemailtemplate,11,4,2
azure.com:apimanagement-apimgroups,11,4,2
azure.com:apimanagement-apimidentityprovider,11,4,2
azure.com:apimanagement-apimloggers,11,4,2
azure.com:apimanagement-apimnetworkstatus,11,4,2
azure.com:apimanagement-apimnotifications,11,4,2
azure.com:apimanagement-apimopenidconnectproviders,11,4,2
azure.com:apimanagement-apimproducts,11,4,2
azure.com:apimanagement-apimproperties,11,4,2
azure.com:apimanagement-apimquotas,11,4,2
azure.com:apimanagement-apimreports,11,4,2
azure.com:apimanagement-apimsubscriptions,11,4,2
azure.com:apimanagement-apimtagresources,11,4,2
azure.com:apimanagement-apimtags,11,4,2
azure.com:apimanagement-apimtenant,11,4,2
azure.com:apimanagement-apimusers,11,4,2
azure.com:apimanagement-apimversionsets,11,4,2
azure.com:applicationinsights-aiOperations_API,11,4,2
azure.com:applicationinsights-componentAnnotations_API,11,4,2
azure.com:applicationinsights-componentApiKeys_API,11,4,2
azure.com:applicationinsights-componentContinuousExport_API,11,4,2
azure.com:applicationinsights-componentFeaturesAndPricing_API,11,4,2
azure.com:applicationinsights-componentProactiveDetection_API,11,4,2
azure.com:applicationinsights-componentWorkItemConfigs_API,11,4,2
azure.com:applicationinsights-components_API,11,4,2
azure.com:applicationinsights-favorites_API,11,4,2
azure.com:applicationinsights-webTestLocations_API,11,4,2
azure.com:applicationinsights-webTests_API,11,4,2
azure.com:authorization,11,4,2
azure.com:authorization-authorization-ClassicAdminCalls,11,4,2
azure.com:authorization-authorization-RACalls,11,4,2
azure.com:authorization-authorization-RoleBasedCalls,11,4,2
azure.com:automation-account,11,4,2
azure.com:automation-certificate,11,4,2
azure.com:automation-connection,11,4,2
azure.com:automation-connectionType,11,4,2
azure.com:automation-credential,11,4,2
azure.com:automation-dscCompilationJob,11,4,2
azure.com:automation-dscConfiguration,11,4,2
azure.com:automation-dscNode,11,4,2
azure.com:automation-dscNodeConfiguration,11,4,2
azure.com:automation-hybridRunbookWorkerGroup,11,4,2
azure.com:automation-job,11,4,2
azure.com:automation-jobSchedule,11,4,2
azure.com:automation-linkedWorkspace,11,4,2
azure.com:automation-module,11,4,2
azure.com:automation-runbook,11,4,2
azure.com:automation-schedule,11,4,2
azure.com:automation-softwareUpdateConfiguration,10,5,1
azure.com:automation-softwareUpdateConfigurationMachineRun,10,5,1
azure.com:automation-softwareUpdateConfigurationRun,10,5,1
azure.com:automation-sourceControl,9,6,1
azure.com:automation-sourceControlSyncJob,9,6,1
azure.com:automation-variable,11,4,2
azure.com:automation-webhook,11,4,2
azure.com:azsadmin-Alert,11,4,2
azure.com:azsadmin-CommerceAdmin,11,4,2
azure.com:azsadmin-EdgeGateway,11,4,2
azure.com:azsadmin-EdgeGatewayPool,11,4,2
azure.com:azsadmin-FabricLocation,11,4,2
azure.com:azsadmin-FileShare,11,4,2
azure.com:azsadmin-InfraRole,11,4,2
azure.com:azsadmin-InfraRoleInstance,11,4,2
azure.com:azsadmin-IpPool,11,4,2
azure.com:azsadmin-LogicalNetwork,11,4,2
azure.com:azsadmin-LogicalSubnet,11,4,2
azure.com:azsadmin-MacAddressPool,11,4,2
azure.com:azsadmin-Operations,11,4,2
azure.com:azsadmin-RegionHealth,11,4,2
azure.com:azsadmin-ResourceHealth,10,5,1
azure.com:azsadmin-ScaleUnit,11,4,2
azure.com:azsadmin-ScaleUnitNode,11,4,2
azure.com:azsadmin-ServiceHealth,11,4,2
azure.com:azsadmin-SlbMuxInstance,11,4,2
azure.com:azsadmin-StoragePool,11,4,2
azure.com:azsadmin-StorageSystem,11,4,2
azure.com:azsadmin-Volume,11,4,2
azure.com:azurestack-AzureStack,11,4,2
azure.com:azurestack-CustomerSubscription,11,4,2
azure.com:azurestack-Product,11,4,2
azure.com:azurestack-Registration,11,4,2
azure.com:batch-BatchManagement,11,4,2
azure.com:batchai-BatchAI,11,4,2
azure.com:billing,11,4,2
azure.com:cdn,11,4,2
azure.com:cognitiveservices,10,5,1
azure.com:cognitiveservices-ComputerVision,10,5,1
azure.com:cognitiveservices-ContentModerator,10,5,1
azure.com:cognitiveservices-Face,10,5,1
azure.com:cognitiveservices-LUIS-Programmatic,10,5,1
azure.com:cognitiveservices-LUIS-Runtime,10,5,1
azure.com:cognitiveservices-TextAnalytics,11,4,2
azure.com:commerce,9,6,1
azure.com:compute,11,4,2
azure.com:compute-containerService,11,4,2
azure.com:compute-disk,11,4,2
azure.com:compute-runCommands,11,4,2
azure.com:compute-skus,11,4,2
azure.com:compute-swagger,11,4,2
azure.com:consumption,12,3,0
azure.com:containerinstance-containerInstance,11,4,2
azure.com:containerregistry,11,4,2
azure.com:containerservices-containerService,11,4,2
azure.com:containerservices-location,11,4,2
azure.com:containerservices-managedClusters,11,4,2
azure.com:cosmos-db,11,4,2
azure.com:customer-insights,11,4,2
azure.com:datacatalog,10,5,1
azure.com:datafactory,11,4,2
azure.com:datalake-analytics-account,11,4,2
azure.com:datalake-analytics-catalog,9,6,1
azure.com:datalake-analytics-job,9,6,1
azure.com:datalake-store-account,11,4,2
azure.com:datalake-store-filesystem,9,6,1
azure.com:datamigration,11,4,2
azure.com:deviceprovisioningservices-iotdps,11,4,2
azure.com:devtestlabs-DTL,11,4,2
azure.com:dns,10,5,1
azure.com:domainservices,10,5,1
azure.com:eventgrid-EventGrid,10,5,1
azure.com:eventhub-EventHub,11,4,2
azure.com:hanaonazure,10,5,1
azure.com:hdinsight-applications,11,4,2
azure.com:hdinsight-capabilities,11,4,2
azure.com:hdinsight-cluster,11,4,2
azure.com:hdinsight-configurations,11,4,2
azure.com:hdinsight-extensions,11,4,2
azure.com:hdinsight-operations,11,4,2
azure.com:hdinsight-scriptActions,11,4,2
azure.com:intune,9,6,1
azure.com:iothub,11,4,2
azure.com:keyvault,9,6,1
azure.com:keyvault-providers,10,5,1
azure.com:keyvault-secrets,10,5,1
azure.com:locationbasedservices,11,4,2
azure.com:logic,11,4,2
azure.com:machinelearning-commitmentPlans,10,5,1
azure.com:machinelearning-webservices,10,5,1
azure.com:machinelearning-workspaces,11,4,2
azure.com:machinelearningcompute-machineLearningCompute,10,5,1
azure.com:machinelearningexperimentation-machineLearningExperimentation,11,4,2
azure.com:managementgroups-management,12,3,0
azure.com:managementpartner-ManagementPartner,10,5,1
azure.com:marketplaceordering-Agreements,11,4,2
azure.com:mediaservices-media,11,4,2
azure.com:migrate,11,4,2
azure.com:mobileengagement-mobile-engagement,11,4,2
azure.com:monitor-actionGroups_API,11,4,2
azure.com:monitor-activityLogAlerts_API,11,4,2
azure.com:monitor-activityLogs_API,11,4,2
azure.com:monitor-alertRulesIncidents_API,11,4,2
azure.com:monitor-alertRules_API,11,4,2
azure.com:monitor-autoscale_API,11,4,2
azure.com:monitor-baseline_API,11,4,2
azure.com:monitor-calculateBaseline_API,11,4,2
azure.com:monitor-diagnosticsSettingsCategories_API,11,4,2
azure.com:monitor-diagnosticsSettings_API,11,4,2
azure.com:monitor-eventCategories_API,11,4,2
azure.com:monitor-logProfiles_API,11,4,2
azure.com:monitor-metricDefinitions_API,11,4,2
azure.com:monitor-metrics_API,11,4,2
azure.com:monitor-operations_API,11,4,2
azure.com:monitor-serviceDiagnosticsSettings_API,11,4,2
azure.com:monitor-tenantActivityLogs_API,11,4,2
azure.com:msi-ManagedIdentity,11,4,2
azure.com:mysql,11,4,2
azure.com:network,11,4,2
azure.com:network-applicationGateway,11,4,2
azure.com:network-applicationSecurityGroup,11,4,2
azure.com:network-checkDnsAvailability,11,4,2
azure.com:network-endpointService,11,4,2
azure.com:network-expressRouteCircuit,11,4,2
azure.com:network-loadBalancer,11,4,2
azure.com:network-networkInterface,11,4,2
azure.com:network-networkSecurityGroup,11,4,2
azure.com:network-networkWatcher,11,4,2
azure.com:network-operation,11,4,2
azure.com:network-publicIpAddress,11,4,2
azure.com:network-routeFilter,11,4,2
azure.com:network-routeTable,11,4,2
azure.com:network-serviceCommunity,11,4,2
azure.com:network-usage,11,4,2
azure.com:network-virtualNetwork,11,4,2
azure.com:network-virtualNetworkGateway,11,4,2
azure.com:network-vmssNetworkInterface,11,4,2
azure.com:network-vmssPublicIpAddress,11,4,2
azure.com:notificationhubs,11,4,2
azure.com:operationalinsights-OperationalInsights,11,4,2
azure.com:operationsmanagement-OperationsManagement,11,4,2
azure.com:policyinsights-policyEvents,10,5,1
azure.com:policyinsights-policyStates,10,5,1
azure.com:postgresql,11,4,2
azure.com:powerbidedicated,11,4,2
azure.com:powerbiembedded,9,6,1
azure.com:provisioningservices-iotdps,11,4,2
azure.com:recoveryservices-backup,11,4,2
azure.com:recoveryservices-registeredidentities,11,4,2
azure.com:recoveryservices-replicationusages,11,4,2
azure.com:recoveryservices-vaults,11,4,2
azure.com:recoveryservices-vaultusages,11,4,2
azure.com:recoveryservicesbackup,11,4,2
azure.com:recoveryservicesbackup-backupManagement,11,4,2
azure.com:recoveryservicesbackup-bms,11,4,2
azure.com:recoveryservicesbackup-jobs,11,4,2
azure.com:recoveryservicesbackup-operations,11,4,2
azure.com:recoveryservicesbackup-registeredIdentities,11,4,2
azure.com:recoveryservicessiterecovery-service,11,4,2
azure.com:redis,11,4,2
azure.com:relay,11,4,2
azure.com:reservations,10,5,1
azure.com:resourcehealth,10,5,1
azure.com:resources,11,4,2
azure.com:resources-features,11,4,2
azure.com:resources-links,11,4,2
azure.com:resources-locks,11,4,2
azure.com:resources-managedapplications,11,4,2
azure.com:resources-management,12,3,0
azure.com:resources-policy,11,4,2
azure.com:resources-policyAssignments,11,4,2
azure.com:resources-policyDefinitions,11,4,2
azure.com:resources-policySetDefinitions,11,4,2
azure.com:resources-subscriptions,11,4,2
azure.com:scheduler,9,6,1
azure.com:search,11,4,2
azure.com:search-searchindex,9,6,1
azure.com:search-searchservice,9,6,1
azure.com:servermanagement,11,4,2
azure.com:service-map-arm-service-map,11,4,2
azure.com:servicebus,11,4,2
azure.com:servicefabric,8,7,3
azure.com:sql-Databases,10,5,1
azure.com:sql-advisors,10,5,1
azure.com:sql-backupLongTermRetentionPolicies,10,5,1
azure.com:sql-backupLongTermRetentionVaults,10,5,1
azure.com:sql-backups,10,5,1
azure.com:sql-blobAuditingPolicies,10,5,1
azure.com:sql-cancelOperations,10,5,1
azure.com:sql-cancelPoolOperations,10,5,1
azure.com:sql-capabilities,10,5,1
azure.com:sql-checkNameAvailability,10,5,1
azure.com:sql-connectionPolicies,10,5,1
azure.com:sql-dataMasking,10,5,1
azure.com:sql-dataWarehouseUserActivities,10,5,1
azure.com:sql-databaseAutomaticTuning,10,5,1
azure.com:sql-databaseSecurityAlertPolicies,10,5,1
azure.com:sql-databases,10,5,1
azure.com:sql-deprecated,10,5,1
azure.com:sql-disasterRecoveryConfigurations,10,5,1
azure.com:sql-elasticPools,10,5,1
azure.com:sql-encryptionProtectors,10,5,1
azure.com:sql-failoverGroups,10,5,1
azure.com:sql-firewallRules,10,5,1
azure.com:sql-geoBackupPolicies,10,5,1
azure.com:sql-importExport,10,5,1
azure.com:sql-managedDatabases,10,5,1
azure.com:sql-metrics,10,5,1
azure.com:sql-operations,10,5,1
azure.com:sql-queries,10,5,1
azure.com:sql-renameDatabase,10,5,1
azure.com:sql-replicationLinks,10,5,1
azure.com:sql-restorePoints,10,5,1
azure.com:sql-serverAutomaticTuning,10,5,1
azure.com:sql-serverAzureADAdministrators,10,5,1
azure.com:sql-serverCommunicationLinks,10,5,1
azure.com:sql-serverDnsAliases,10,5,1
azure.com:sql-serverKeys,10,5,1
azure.com:sql-servers,10,5,1
azure.com:sql-serviceObjectives,10,5,1
azure.com:sql-sql.core,10,5,1
azure.com:sql-syncAgents,10,5,1
azure.com:sql-syncGroups,10,5,1
azure.com:sql-syncMembers,10,5,1
azure.com:sql-tableAuditing,10,5,1
azure.com:sql-usages,10,5,1
azure.com:sql-virtualNetworkRules,10,5,1
azure.com:storage,11,4,2
azure.com:storageimportexport,11,4,2
azure.com:storsimple8000series-storsimple,11,4,2
azure.com:streamanalytics-functions,11,4,2
azure.com:streamanalytics-inputs,11,4,2
azure.com:streamanalytics-outputs,11,4,2
azure.com:streamanalytics-streamingjobs,11,4,2
azure.com:streamanalytics-subscriptions,11,4,2
azure.com:streamanalytics-transformations,11,4,2
azure.com:subscription-subscriptionDefinitions,11,4,2
azure.com:timeseriesinsights,11,4,2
azure.com:trafficmanager,11,4,2
azure.com:trafficmanager-trafficmanageranalytics,11,4,2
azure.com:visualstudio-Csm,11,4,2
azure.com:web-AppServiceCertificateOrders,11,4,2
azure.com:web-AppServiceEnvironments,11,4,2
azure.com:web-AppServicePlans,11,4,2
azure.com:web-CertificateRegistrationProvider,11,4,2
azure.com:web-Certificates,11,4,2
azure.com:web-DeletedWebApps,11,4,2
azure.com:web-Diagnostics,11,4,2
azure.com:web-DomainRegistrationProvider,11,4,2
azure.com:web-Domains,11,4,2
azure.com:web-Provider,11,4,2
azure.com:web-Recommendations,11,4,2
azure.com:web-ResourceProvider,11,4,2
azure.com:web-TopLevelDomains,11,4,2
azure.com:web-WebApps,11,4,2
azure.com:web-logicAppsManagementClient,11,4,2
azure.com:web-service,9,6,1
bbc.co.uk,11,4,2
bbc.com,13,2,0
bbci.co.uk,13,2,0
bclaws.ca:bclaws,9,6,1
beanstream.com,8,7,3
beezup.com,14,1,0
betfair.com,9,6,1
bigoven.com,9,6,1
bikewise.org,9,6,1
bitbucket.org,12,3,0
blazemeter.com,11,4,2
bluemix.net:containers,8,7,3
botify.com,11,4,2
box.com:authorization,9,6,1
box.com:content,13,2,0
box.com:token,9,6,1
box.com:upload,11,4,2
brandlovers.com,11,4,2
brex.io,3,12,3
browshot.com,10,5,1
bufferapp.com,11,4,2
bungie.net,10,5,1
callfire.com,11,4,2
cambase.io,7,8,3
carbondoomsday.com,11,4,2
ccp.is,10,5,1
cenit.io,13,2,0
channel4.com,14,1,0
circleci.com,12,3,0
circuitsandbox.net,8,7,3
cisco.com,7,8,3
citrixonline.com:gotomeeting,12,3,0
citrixonline.com:scim,12,3,0
citycontext.com,11,4,2
clarify.io,8,7,3
clever-cloud.com,8,7,3
clever.com,11,4,2
clickmeter.com,8,7,3
cloudmersive.com:ocr,9,6,1
cnab-online.herokuapp.com,8,7,3
code-scan.com,10,5,1
consumerfinance.gov,9,6,1
core.ac.uk,10,5,1
cybertaxonomy.eu,9,6,1
data.gov,10,5,1
data2crm.com,12,3,0
dataatwork.org,9,6,1
datumbox.com,8,7,3
deeparteffects.com,9,6,1
deutschebahn.com:betriebsstellen,9,6,1
deutschebahn.com:fahrplan,9,6,1
deutschebahn.com:fasta,11,4,2
deutschebahn.com:flinkster,9,6,1
deutschebahn.com:reisezentren,9,6,1
deutschebahn.com:stada,7,8,3
digitallinguistics.io,15,0,0
docker.com:engine,10,5,1
docusign.net,14,1,0
domainsdb.info,11,4,2
dracoon.team,8,7,3
dropx.io,8,7,3
dweet.io,7,8,3
ebay.com:buy-browse,8,7,3
ebay.com:buy-feed,9,6,1
ebay.com:buy-marketing,8,7,3
ebay.com:commerce-taxonomy,9,6,1
ebay.com:sell-fulfillment,9,6,1
envoice.in,7,8,3
epa.gov:air,10,5,1
epa.gov:case,10,5,1
epa.gov:cwa,10,5,1
epa.gov:dfr,10,5,1
epa.gov:echo,10,5,1
epa.gov:eff,10,5,1
epa.gov:rcra,10,5,1
epa.gov:sdw,10,5,1
etmdb.com,6,9,3
europeana.eu,9,6,1
exavault.com,9,6,1
fantasydata.net:cbb-v3-scores,10,5,1
fantasydata.net:cbb-v3-stats,10,5,1
fantasydata.net:cfb-v3-scores,10,5,1
fantasydata.net:golf-v2,10,5,1
fantasydata.net:mlb-v3-play-by-play,10,5,1
fantasydata.net:mlb-v3-projections,10,5,1
fantasydata.net:mlb-v3-projections-dfsr,10,5,1
fantasydata.net:mlb-v3-rotoballer-articles,10,5,1
fantasydata.net:mlb-v3-rotoballer-premium-news,10,5,1
fantasydata.net:mlb-v3-scores,10,5,1
fantasydata.net:mlb-v3-stats,10,5,1
fantasydata.net:nascar-v2,10,5,1
fantasydata.net:nba-v3-play-by-play,10,5,1
fantasydata.net:nba-v3-projections,10,5,1
fantasydata.net:nba-v3-rotoballer-articles,10,5,1
fantasydata.net:nba-v3-rotoballer-premium-news,10,5,1
fantasydata.net:nba-v3-scores,10,5,1
fantasydata.net:nba-v3-stats,10,5,1
fantasydata.net:nfl-v3-play-by-play,10,5,1
fantasydata.net:nfl-v3-projections,10,5,1
fantasydata.net:nfl-v3-projections-dfsr,10,5,1
fantasydata.net:nfl-v3-rotoballer-articles,10,5,1
fantasydata.net:nfl-v3-rotoballer-premium-news,10,5,1
fantasydata.net:nfl-v3-scores,10,5,1
fantasydata.net:nfl-v3-stats,10,5,1
fantasydata.net:nhl-v3-play-by-play,10,5,1
fantasydata.net:nhl-v3-projections,10,5,1
fantasydata.net:nhl-v3-scores,10,5,1
fantasydata.net:nhl-v3-stats,10,5,1
fantasydata.net:soccer-v3-projections,10,5,1
fantasydata.net:soccer-v3-scores,10,5,1
fantasydata.net:soccer-v3-stats,10,5,1
figshare.com,9,6,1
firebrowse.org,8,7,3
flat.io,12,3,0
flickr.com,9,6,1
formapi.io,8,7,3
freesound.org,10,5,1
funtranslations.com,9,6,1
furkot.com,11,4,2
geneea.com,12,3,0
geodesystems.com,8,7,3
getgo.com:gototraining,11,4,2
getgo.com:gotowebinar,11,4,2
getsandbox.com,12,3,0
gettyimages.com,9,6,1
giphy.com,15,0,0
gisgraphy.com,8,7,3
github.com,11,4,2
gitlab.com,11,4,2
googleapis.com:abusiveexperiencereport,11,4,2
googleapis.com:acceleratedmobilepageurl,10,5,1
googleapis.com:adexchangebuyer,11,4,2
googleapis.com:adexchangebuyer2,11,4,2
googleapis.com:adexchangeseller,11,4,2
googleapis.com:adexperiencereport,11,4,2
googleapis.com:admin,11,4,2
googleapis.com:adsense,11,4,2
googleapis.com:adsensehost,11,4,2
googleapis.com:analytics,11,4,2
googleapis.com:analyticsreporting,11,4,2
googleapis.com:androiddeviceprovisioning,10,5,1
googleapis.com:androidenterprise,11,4,2
googleapis.com:androidmanagement,11,4,2
googleapis.com:androidpublisher,11,4,2
googleapis.com:appengine,11,4,2
googleapis.com:appsactivity,11,4,2
googleapis.com:appstate,11,4,2
googleapis.com:bigquery,11,4,2
googleapis.com:bigquerydatatransfer,11,4,2
googleapis.com:blogger,11,4,2
googleapis.com:books,11,4,2
googleapis.com:calendar,11,4,2
googleapis.com:chat,10,5,1
googleapis.com:civicinfo,10,5,1
googleapis.com:classroom,11,4,2
googleapis.com:cloudbilling,11,4,2
googleapis.com:cloudbuild,11,4,2
googleapis.com:clouddebugger,11,4,2
googleapis.com:clouderrorreporting,11,4,2
googleapis.com:cloudfunctions,11,4,2
googleapis.com:cloudiot,11,4,2
googleapis.com:cloudkms,11,4,2
googleapis.com:cloudmonitoring,11,4,2
googleapis.com:cloudresourcemanager,11,4,2
googleapis.com:cloudshell,11,4,2
googleapis.com:cloudtasks,11,4,2
googleapis.com:cloudtrace,11,4,2
googleapis.com:clouduseraccounts,11,4,2
googleapis.com:compute,11,4,2
googleapis.com:consumersurveys,10,5,1
googleapis.com:container,11,4,2
googleapis.com:content,11,4,2
googleapis.com:customsearch,10,5,1
googleapis.com:dataflow,11,4,2
googleapis.com:dataproc,11,4,2
googleapis.com:datastore,11,4,2
googleapis.com:deploymentmanager,11,4,2
googleapis.com:dfareporting,11,4,2
googleapis.com:digitalassetlinks,10,5,1
googleapis.com:discovery,10,5,1
googleapis.com:dlp,11,4,2
